"qvalue","protein_group","protein_accession","protein_description","protein_name","fasta_file","unique_precursors","Avg","logFC","FDR","Regulation","gh","gt","ce","pl","HMMER","dbCAN_sub","DIAMOND","Signalp","#ofTools","EC#"
"0.0","A0ZZ99","A0ZZ99","Chromosomal replication initiator protein DnaA","A0ZZ99_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","7","1.93371958017738","-1.4437025302711","0.0538835936884884","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA0","A0ZZA0","Beta sliding clamp","A0ZZA0_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","20","1.25268858888153","1.82078194538521","0.066266110874165","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA3","A0ZZA3","DNA topoisomerase (ATP-hydrolyzing)","A0ZZA3_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","9","0.70858285964208","-0.264534120521905","0.597971609605066","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA4","A0ZZA4","DNA gyrase subunit A","A0ZZA4_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","9","0.165473322225313","1.08189953013081","0.122064817578344","Non-regulated","","","","","","","","","",""
"0.000761559383499547","A0ZZA5","A0ZZA5","DUF3566 domain-containing protein","A0ZZA5_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","2","-0.203184024595519","0.376469993135299","0.624726552883652","Non-regulated","","","","","","","","","",""
"0.0","A0ZZA6","A0ZZA6","Glutamate dehydrogenase","A0ZZA6_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","34","3.91060863664571","0.512193321370785","0.244908213353313","Non-regulated","","","","","","","","","",""
"0.00185449633346198","A0ZZB0","A0ZZB0","Carbonic anhydrase","A0ZZB0_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","1","-0.974162911217057","-1.18123020102973","0.0742974281551909","Non-regulated","","","","","","","","","",""
"0.0","A0ZZC2","A0ZZC2","Phosphoenolpyruvate carboxylase","A0ZZC2_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","25","1.00651376102717","-0.912144799898058","0.064338697031355","Non-regulated","","","","","","","","","",""
"0.0","A0ZZC5","A0ZZC5","Tryptophan--tRNA ligase","A0ZZC5_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","12","-0.584210509359814","0.722764255754655","0.15270869244571","Non-regulated","","","","","","","","","",""
"0.0","A0ZZC8","A0ZZC8","Alpha-1,4 glucan phosphorylase","A0ZZC8_BIFAA","uniprotkb_proteome_UP000008702_Bifidobacterium_adolescentis_2026_02_01","26","1.08427664954874","0.272467099448925","0.602344350879292","Non-regulated","","","","","","","","","",""
